head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
15.144563,-176.63832,1341.4565,11.9383335,-101.0211,916.2477,210.57516,-163.72171,1018.938,163.86287,-73.47658,701.3224,-73.025475,-49.788216,865.98785,-185.67671,-168.80904,1018.3577,-186.30661,-52.125637,724.57007,73.267426,-14.812439,851.4433,-150.88757,-231.61809,609.494,165.88258,231.43074,546.1264,-140.48451,232.30383,548.2793,126.97055,77.76724,68.206474,-147.38739,78.33682,79.537964,187.70447,340.5412,76.75969,-176.035,342.83054,86.158104,0.0,0.0,0.0
15.223991,-175.83524,1341.5986,11.876203,-100.73383,915.762,210.69551,-162.8292,1018.9103,163.59178,-73.49468,700.9836,-73.0757,-49.254864,865.6803,-185.56223,-168.06198,1018.2928,-186.22624,-51.858562,724.2443,73.64684,-13.928004,851.0001,-150.82756,-231.77367,609.3365,165.6271,231.3854,546.1184,-140.5658,232.15063,548.2928,127.288,77.99303,68.15264,-147.39273,78.32564,79.516785,187.76117,340.58115,76.84875,-176.0963,342.86157,86.282104,0.0,0.0,0.0
15.3225565,-174.78218,1341.7266,11.9184,-99.91402,915.52765,210.56067,-161.9587,1018.9366,164.15016,-72.81758,700.71265,-72.95676,-48.756584,865.3045,-185.47417,-167.1275,1018.20795,-186.20958,-51.616444,723.95184,73.59747,-13.372259,850.6356,-150.95045,-231.79976,609.54675,165.35127,231.30188,546.1382,-140.76988,231.98752,548.3368,127.02831,77.73461,68.23551,-147.54547,78.22019,79.53107,187.73996,340.51828,76.88795,-176.5152,342.70688,86.46301,0.0,0.0,0.0
15.5569935,-173.3465,1341.6469,12.302575,-100.37964,914.87134,211.10736,-160.72406,1019.09467,163.83846,-72.78324,700.4194,-72.933075,-48.186523,864.99945,-185.35178,-166.20128,1018.13354,-186.08696,-51.317806,723.63965,73.48338,-12.767661,850.1257,-150.88658,-231.79994,609.73566,165.07683,231.23756,546.12463,-140.88373,231.82446,548.36707,126.933075,77.436295,68.17273,-147.46738,78.35001,79.45015,187.75299,340.47552,76.94794,-176.11899,342.70636,86.34295,0.0,0.0,0.0
15.8315935,-171.94145,1341.7522,12.266454,-99.36968,914.7793,211.0027,-159.55075,1018.9295,164.13776,-72.29864,700.16235,-72.81165,-47.402508,864.6039,-185.28856,-165.18422,1018.0798,-186.10304,-51.074238,723.31726,74.38124,-11.365013,849.72595,-150.81645,-231.91208,609.65845,164.68321,231.12206,545.97754,-141.11447,231.64647,548.40265,126.93397,77.363625,68.17826,-147.4017,78.34693,79.450905,187.74069,340.48166,77.0119,-176.31218,342.64426,86.57608,0.0,0.0,0.0
16.034313,-170.36319,1341.2064,12.281309,-98.510864,914.52747,211.04391,-158.24586,1018.7633,164.37654,-72.18459,700.1953,-72.76008,-46.670395,864.2058,-185.12279,-164.05673,1018.0665,-186.04358,-50.72202,722.9275,73.46614,-11.474781,849.3733,-151.01227,-231.88179,609.92896,164.24109,231.14896,545.834,-141.27449,231.49303,548.4239,126.59217,77.58079,68.17817,-147.5664,78.14686,79.49024,187.76968,340.4423,77.01182,-176.29964,342.65695,86.29283,0.0,0.0,0.0
16.382998,-168.56557,1341.4701,12.231438,-96.622826,914.56696,211.10089,-156.89116,1018.6211,164.14166,-71.622536,699.32697,-72.37854,-46.141357,863.8128,-184.98703,-162.86552,1017.97473,-186.1014,-50.43878,722.62213,73.505585,-10.567446,848.8966,-150.96538,-231.90622,610.19904,164.20062,231.20277,545.948,-141.46994,231.3641,548.4591,126.78065,77.784355,68.15661,-147.60876,78.14033,79.48514,187.71397,340.45297,77.06033,-176.08426,342.72177,86.4341,0.0,0.0,0.0
16.422722,-166.63046,1341.6453,12.221562,-95.235275,914.345,211.15097,-155.4864,1018.4249,164.17401,-71.054955,698.9792,-72.83472,-44.93432,863.43585,-184.85385,-161.57162,1017.9768,-186.18315,-50.015236,722.2229,73.79733,-9.468223,848.2349,-150.94492,-232.02493,609.8519,164.03802,231.26811,545.9393,-141.62785,231.23868,548.486,126.77698,77.76153,68.11251,-147.50098,78.24727,79.44988,187.70816,340.4223,77.05952,-176.21921,342.72952,86.59783,0.0,0.0,0.0
16.903694,-164.64772,1341.6323,12.425385,-94.38295,913.9439,211.2912,-153.97743,1018.3015,164.14996,-70.3234,698.79895,-72.49426,-44.11831,863.07556,-184.77254,-160.21396,1017.93005,-186.094,-49.50338,721.87164,73.48661,-8.8014345,847.8146,-150.97054,-231.93889,610.261,163.83841,231.31956,545.9174,-141.96194,231.07661,548.466,126.985855,78.07669,68.13387,-147.48273,78.28202,79.449265,187.66779,340.45367,77.09088,-176.44753,342.65372,86.68395,0.0,0.0,0.0
17.019297,-162.5365,1341.2703,12.566255,-93.98144,913.3463,211.41826,-152.40147,1018.04047,164.30478,-69.54736,698.698,-72.67005,-43.056007,862.6198,-184.61826,-158.76189,1017.9122,-186.05243,-48.888474,721.51025,74.29795,-6.931042,847.1562,-150.9802,-231.82648,610.3744,163.83524,231.33958,545.9622,-142.11942,231.07565,548.50287,126.9111,77.38074,68.111786,-147.60722,78.164,79.48331,187.66518,340.49536,77.07965,-176.39622,342.63754,86.52549,0.0,0.0,0.0
17.097658,-160.2823,1341.0106,12.611231,-91.66484,913.5016,211.64047,-150.78862,1017.75793,164.2267,-68.74274,697.8985,-72.396355,-42.100204,862.1706,-184.49496,-157.21173,1017.87396,-186.06482,-48.225983,721.1133,73.56883,-6.478576,846.3686,-150.89458,-231.64073,610.4171,163.89415,231.51515,546.0719,-142.47586,230.98767,548.4472,126.74091,77.78363,68.176704,-147.56897,78.201744,79.47474,187.63284,340.47183,77.011826,-176.42978,342.63974,86.51435,0.0,0.0,0.0
17.342556,-157.86687,1340.9604,12.617067,-90.94574,912.9459,211.94469,-149.07326,1017.59503,164.20892,-68.0721,697.3425,-72.41462,-41.000748,861.7008,-184.31645,-155.63147,1017.8381,-186.18585,-47.59744,720.74786,73.64087,-5.2885537,845.747,-151.2335,-231.5097,610.25494,163.66377,231.5914,545.8746,-142.72125,231.06783,548.49805,127.02362,77.66114,68.020424,-147.62915,78.128365,79.47169,187.63527,340.47998,76.93208,-176.31355,342.6014,86.481995,0.0,0.0,0.0
17.648163,-155.1646,1340.8984,12.6183605,-89.584236,912.4657,211.86682,-147.3645,1017.1135,163.87593,-67.588234,696.8171,-72.42959,-39.834976,861.2929,-184.17982,-153.99538,1017.82904,-186.33234,-46.989315,720.3542,73.85733,-4.1478643,845.0814,-151.14691,-231.32413,610.17316,163.65466,231.83124,545.982,-143.04738,231.09274,548.4063,126.57659,77.679214,68.21399,-147.62352,78.1082,79.48606,187.59814,340.47626,76.77567,-176.40976,342.5823,86.242615,0.0,0.0,0.0
