NO_OF_FRAMES	939
NO_OF_CAMERAS	0
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	1969-12-31, 21:00:00	0.00000000
DATA_INCLUDED	3D
MARKER_NAMES	SACRO	EIASD	EIASE	EIPSD	EIPSE	TMFD	ELFD	EMFD
1.759	577.719	961.227	-155.613	414.837	939.335	130.832	392.969	930.669	-52.179	570.094	968.923	58.708	567.690	965.432	-183.094	448.746	890.170	-207.719	399.738	473.342	-64.392	398.536	450.223
1.804	578.121	960.979	-155.596	415.228	938.963	130.827	393.294	930.290	-52.142	570.480	968.677	58.745	568.067	965.197	-183.076	449.182	889.894	-207.954	399.355	473.253	-64.639	397.996	450.184
1.846	578.519	960.731	-155.578	415.612	938.592	130.823	393.620	929.916	-52.108	570.863	968.428	58.779	568.443	964.961	-183.059	449.614	889.617	-208.191	398.978	473.165	-64.887	397.463	450.143
1.884	578.915	960.482	-155.560	415.990	938.222	130.819	393.948	929.549	-52.077	571.244	968.178	58.810	568.815	964.723	-183.044	450.043	889.340	-208.429	398.607	473.080	-65.138	396.937	450.101
1.919	579.306	960.233	-155.542	416.361	937.855	130.815	394.277	929.188	-52.050	571.622	967.926	58.838	569.184	964.486	-183.030	450.467	889.062	-208.669	398.242	472.998	-65.392	396.420	450.057
1.950	579.693	959.985	-155.523	416.725	937.490	130.811	394.607	928.834	-52.025	571.997	967.675	58.863	569.549	964.249	-183.018	450.886	888.785	-208.911	397.883	472.918	-65.647	395.912	450.011
1.978	580.076	959.738	-155.503	417.081	937.128	130.807	394.937	928.487	-52.004	572.369	967.423	58.886	569.910	964.012	-183.007	451.300	888.508	-209.153	397.531	472.840	-65.905	395.413	449.965
2.002	580.454	959.494	-155.484	417.430	936.769	130.802	395.267	928.147	-51.986	572.737	967.171	58.906	570.265	963.777	-182.998	451.709	888.232	-209.396	397.184	472.765	-66.165	394.922	449.917
2.023	580.828	959.251	-155.464	417.770	936.414	130.797	395.597	927.814	-51.970	573.101	966.921	58.924	570.616	963.544	-182.990	452.112	887.956	-209.640	396.844	472.693	-66.427	394.441	449.869
2.040	581.197	959.012	-155.444	418.103	936.063	130.790	395.927	927.488	-51.957	573.460	966.671	58.939	570.960	963.313	-182.984	452.510	887.680	-209.884	396.508	472.622	-66.691	393.969	449.820
2.054	581.561	958.775	-155.425	418.428	935.716	130.783	396.255	927.170	-51.947	573.815	966.424	58.951	571.300	963.085	-182.980	452.902	887.406	-210.129	396.178	472.554	-66.955	393.505	449.771
2.064	581.920	958.542	-155.405	418.745	935.374	130.775	396.583	926.859	-51.940	574.164	966.178	58.961	571.633	962.861	-182.977	453.289	887.132	-210.373	395.853	472.488	-67.220	393.050	449.722
2.071	582.274	958.312	-155.387	419.055	935.037	130.765	396.908	926.554	-51.934	574.508	965.935	58.967	571.961	962.641	-182.976	453.670	886.859	-210.616	395.531	472.423	-67.484	392.603	449.673
2.075	582.622	958.087	-155.369	419.357	934.704	130.754	397.232	926.256	-51.931	574.847	965.693	58.972	572.282	962.425	-182.976	454.045	886.588	-210.859	395.213	472.361	-67.749	392.163	449.625
2.076	582.966	957.865	-155.352	419.652	934.376	130.741	397.554	925.964	-51.930	575.180	965.455	58.973	572.597	962.213	-182.977	454.415	886.317	-211.102	394.898	472.300	-68.012	391.732	449.576
2.074	583.304	957.646	-155.336	419.941	934.053	130.726	397.874	925.678	-51.931	575.507	965.219	58.972	572.906	962.005	-182.980	454.779	886.047	-211.343	394.585	472.241	-68.274	391.307	449.528
2.069	583.637	957.432	-155.322	420.223	933.734	130.710	398.191	925.397	-51.933	575.827	964.986	58.968	573.208	961.801	-182.985	455.138	885.778	-211.583	394.274	472.183	-68.534	390.890	449.481
2.061	583.965	957.221	-155.310	420.499	933.419	130.691	398.505	925.121	-51.937	576.142	964.756	58.961	573.505	961.601	-182.992	455.492	885.510	-211.821	393.964	472.126	-68.792	390.478	449.434
2.051	584.288	957.014	-155.301	420.770	933.109	130.670	398.817	924.849	-51.943	576.450	964.528	58.952	573.795	961.405	-183.000	455.840	885.244	-212.058	393.654	472.069	-69.047	390.072	449.389
2.038	584.606	956.809	-155.294	421.036	932.802	130.647	399.125	924.581	-51.951	576.751	964.303	58.940	574.080	961.213	-183.010	456.184	884.978	-212.292	393.343	472.013	-69.300	389.672	449.344
2.023	584.919	956.607	-155.290	421.297	932.499	130.622	399.431	924.315	-51.960	577.046	964.080	58.926	574.359	961.024	-183.022	456.523	884.714	-212.525	393.032	471.957	-69.549	389.276	449.299
2.006	585.227	956.407	-155.290	421.555	932.199	130.594	399.733	924.051	-51.970	577.335	963.859	58.910	574.634	960.838	-183.037	456.857	884.451	-212.756	392.719	471.900	-69.795	388.885	449.256
1.987	585.531	956.209	-155.293	421.811	931.901	130.564	400.032	923.788	-51.982	577.617	963.639	58.891	574.903	960.654	-183.054	457.186	884.189	-212.985	392.403	471.843	-70.037	388.498	449.214
1.966	585.829	956.013	-155.300	422.064	931.604	130.532	400.327	923.526	-51.995	577.893	963.421	58.870	575.167	960.471	-183.073	457.510	883.927	-213.212	392.086	471.785	-70.276	388.115	449.173
