100, 0.07879, 0.005
200, 0.03761, 0.005
300, 0.03337, 0.005
400, 0.03130, 0.005
500, 0.02537, 0.005
600, 0.02459, 0.005
700, 0.02329, 0.005
800, 0.01978, 0.005
900, 0.01844, 0.005
1000, 0.01598, 0.005
1100, 0.01722, 0.005
1200, 0.01405, 0.005
1300, 0.01358, 0.005
1400, 0.01383, 0.005
1500, 0.01271, 0.005
1600, 0.01217, 0.005
1700, 0.01133, 0.005
1800, 0.01159, 0.005
1900, 0.00969, 0.005
2000, 0.01027, 0.005
2100, 0.01066, 0.005
2200, 0.01019, 0.005
2300, 0.01011, 0.005
2400, 0.00977, 0.005
2500, 0.00908, 0.005
2600, 0.00929, 0.005
2700, 0.00868, 0.005
2800, 0.00978, 0.005
2900, 0.00835, 0.005
3000, 0.00890, 0.005
3100, 0.00865, 0.005
3200, 0.00836, 0.005
3300, 0.00798, 0.005
3400, 0.00789, 0.005
3500, 0.00770, 0.005
3600, 0.00736, 0.005
3700, 0.00764, 0.005
3800, 0.00730, 0.005
3900, 0.00781, 0.005
4000, 0.00706, 0.005
4100, 0.00745, 0.005
4200, 0.00693, 0.005
4300, 0.00683, 0.005
4400, 0.00749, 0.005
4500, 0.00699, 0.005
4600, 0.00712, 0.005
4700, 0.00669, 0.005
4800, 0.00697, 0.005
4900, 0.00693, 0.005
5000, 0.00635, 0.005
5100, 0.00672, 0.005
5200, 0.00732, 0.005
5300, 0.00671, 0.005
5400, 0.00642, 0.005
5500, 0.00683, 0.005
5600, 0.00637, 0.005
5700, 0.00680, 0.005
5800, 0.00683, 0.005
5900, 0.00630, 0.005
6000, 0.00650, 0.005
6100, 0.00608, 0.005
6200, 0.00592, 0.005
6300, 0.00604, 0.005
6400, 0.00620, 0.005
6500, 0.00623, 0.005
6600, 0.00625, 0.005
6700, 0.00652, 0.005
6800, 0.00577, 0.005
6900, 0.00563, 0.005
7000, 0.00598, 0.005
7100, 0.00596, 0.005
7200, 0.00581, 0.005
7300, 0.00632, 0.005
7400, 0.00572, 0.005
7500, 0.00570, 0.005
7600, 0.00561, 0.005
7700, 0.00596, 0.005
7800, 0.00562, 0.005
7900, 0.00558, 0.005
8000, 0.00512, 0.005
8100, 0.00606, 0.005
8200, 0.00521, 0.005
8300, 0.00547, 0.005
8400, 0.00573, 0.005
8500, 0.00549, 0.005
8600, 0.00586, 0.005
8700, 0.00587, 0.005
8800, 0.00563, 0.005
8900, 0.00510, 0.005
9000, 0.00514, 0.005
9100, 0.00527, 0.005
9200, 0.00510, 0.005
9300, 0.00545, 0.005
9400, 0.00550, 0.005
9500, 0.00548, 0.005
9600, 0.00523, 0.005
9700, 0.00525, 0.005
9800, 0.00559, 0.005
9900, 0.00535, 0.005
10000, 0.00554, 0.005
