Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,44.3897,-3.37585,-302.558,1646.3,-6676.03,1748.93,132.935,193.559,0,-23.1049,1.61072,-277.452,-7774.11,-405.517,-1415.5,-156.462,228.02,0
1,1,41.0327,-4.29138,-302.558,730.772,-7896.73,2206.7,128.9,196.585,0,-21.579,1.61072,-275.621,-7774.11,-161.376,-1140.84,-155.585,228.206,0
1,2,41.0327,-3.68103,-306.22,913.878,-7042.24,1932.04,132.003,196.016,0,-20.6635,1.30555,-276.232,-7407.9,-39.3061,-1232.39,-155.142,226.818,0
1,3,42.2534,-3.98621,-303.168,913.878,-7286.38,2206.7,130.966,195.986,0,-21.8842,1.30555,-276.842,-6858.58,204.834,-1232.39,-154.26,224.774,0
1,4,42.5586,-3.68103,-305.61,1646.3,-6309.81,1840.49,134.353,193.613,0,-24.3256,1.30555,-276.842,-7774.11,82.7642,-957.733,-154.701,228.081,0
1,5,41.6431,-3.68103,-303.779,1829.41,-6798.1,1565.83,132.622,192.978,0,-23.41,1.9159,-276.842,-7591,82.7642,-1323.94,-154.701,227.42,0
1,6,41.9482,-3.68103,-303.168,2012.51,-6920.17,1748.93,132.174,192.362,0,-22.4945,0.695194,-275.621,-8506.53,82.7642,-1507.05,-154.7,230.863,0
1,7,40.4224,-1.5448,-303.779,-1.64956,-6798.1,1565.83,132.622,199.005,0,-23.7152,2.22107,-273.79,-7591,82.7642,-1140.84,-154.698,227.726,0
1,8,41.0327,-3.68103,-304.389,1463.19,-8140.87,2206.7,128.255,194.193,0,-21.2738,1.61072,-275.621,-7224.79,-161.376,-1049.29,-155.585,226.213,0
1,9,44.0845,-3.68103,-304.999,913.878,-7896.73,2023.59,129.109,196.004,0,-22.1893,1.61072,-276.232,-8140.32,204.834,-1049.29,-154.258,229.469,0
2,0,43.7793,-3.68103,-303.779,1829.41,-8018.8,2115.14,128.603,192.978,0,-22.7997,1.00037,-273.79,-8323.43,82.7642,-1140.84,-154.698,230.401,0
2,1,42.5586,-3.98621,-308.051,2195.62,-7530.52,2206.7,130.554,191.873,0,-23.1049,1.9159,-273.79,-7774.11,-39.3061,-1415.5,-155.144,228.394,0
2,2,43.1689,-3.98621,-304.999,1829.41,-6920.17,2389.8,132.311,193.002,0,-21.8842,1.30555,-275.011,-8140.32,-39.3061,-1049.29,-155.143,229.6,0
2,3,41.9482,-3.68103,-305.61,2378.72,-7286.38,2115.14,131.158,191.216,0,-22.1893,1.30555,-272.57,-7407.9,82.7642,-1690.15,-154.696,227.178,0
2,4,43.1689,-4.29138,-306.83,2744.93,-6676.03,2023.59,133.242,190.054,0,-22.1893,1.30555,-274.401,-7041.69,-161.376,-1323.94,-155.588,225.662,0
2,5,41.9482,-4.29138,-308.051,2195.62,-7042.24,1932.04,132.139,191.873,0,-26.767,0.695194,-272.57,-7407.9,204.834,-1232.39,-154.249,227.178,0
2,6,44.3897,-3.98621,-306.22,2928.04,-7652.59,2023.59,130.01,189.438,0,-23.41,0.695194,-273.79,-6858.58,-39.3061,-1140.84,-155.144,225.051,0
2,7,43.1689,-4.29138,-304.999,2561.83,-7164.31,2298.25,131.51,190.601,0,-20.0531,1.00037,-273.79,-7591,82.7642,-1140.84,-154.698,227.726,0
2,8,42.2534,-4.29138,-306.22,2378.72,-7408.45,2023.59,130.807,191.232,0,-19.7479,0.0848421,-273.79,-7957.21,-39.3061,-1140.84,-155.144,229.063,0
2,9,43.1689,-4.29138,-304.999,1829.41,-6553.96,1748.93,133.512,193.002,0,-21.8842,0.390018,-273.79,-7957.21,204.834,-1323.94,-154.252,229.063,0
3,0,44.3897,-3.68103,-306.22,1463.19,-6676.03,2206.7,133.199,194.222,0,-22.1893,1.00037,-275.011,-7041.69,-161.376,-1323.94,-155.587,225.605,0
3,1,43.4741,-3.68103,-305.61,2378.72,-7530.52,1932.04,130.359,191.216,0,-19.1376,0.695194,-273.18,-7591,204.834,-1049.29,-154.25,227.788,0
3,2,44.6948,-2.7655,-306.22,2928.04,-6920.17,1932.04,132.401,189.438,0,-20.9686,1.00037,-273.18,-7407.9,-39.3061,-1232.39,-155.144,227.117,0
3,3,39.2017,-3.37585,-305.61,364.561,-6920.17,1474.27,132.356,197.807,0,-20.0531,0.390018,-275.621,-7591,-161.376,-1415.5,-155.585,227.541,0
3,4,42.5586,-4.59656,-306.22,2195.62,-6920.17,2206.7,132.401,191.83,0,-20.6635,0.390018,-274.401,-7591,82.7642,-1415.5,-154.698,227.664,0
3,5,44.0845,-4.29138,-306.22,2744.93,-6676.03,2023.59,133.199,190.036,0,-22.7997,0.390018,-273.79,-7407.9,-39.3061,-1232.39,-155.144,227.057,0
3,6,40.7275,-2.46033,-306.83,2561.83,-6920.17,1840.49,132.446,190.651,0,-23.7152,1.00037,-273.79,-7407.9,-39.3061,-1415.5,-155.144,227.057,0
3,7,43.1689,-3.68103,-306.83,2744.93,-7286.38,2023.59,131.253,190.054,0,-21.8842,0.695194,-272.57,-8140.32,204.834,-1232.39,-154.249,229.865,0
3,8,42.5586,-4.29138,-306.22,3294.25,-6676.03,1932.04,133.199,188.242,0,-20.0531,1.00037,-274.401,-7041.69,-283.447,-1140.84,-156.033,225.662,0
3,9,43.1689,-4.29138,-303.779,1280.09,-6798.1,1932.04,132.622,194.786,0,-21.8842,0.695194,-274.401,-7774.11,-161.376,-1323.94,-155.588,228.331,0
4,0,44.3897,-4.59656,-306.22,2012.51,-6920.17,2206.7,132.401,192.428,0,-21.2738,0.695194,-275.011,-7591,82.7642,-1415.5,-154.699,227.603,0
4,1,43.4741,-4.29138,-305.61,1646.3,-7652.59,2023.59,129.96,193.613,0,-19.7479,1.00037,-275.011,-7957.21,-39.3061,-1323.94,-155.143,228.934,0
4,2,41.9482,-4.29138,-304.999,1646.3,-6676.03,1840.49,133.111,193.602,0,-22.1893,0.695194,-275.011,-7774.11,-161.376,-1323.94,-155.587,228.268,0
4,3,42.2534,-4.90173,-305.61,2378.72,-6676.03,1932.04,133.155,191.216,0,-20.3583,1.30555,-276.232,-7407.9,-39.3061,-1140.84,-155.142,226.818,0
4,4,40.7275,-4.29138,-304.999,2195.62,-7408.45,2206.7,130.71,191.801,0,-18.222,0.390018,-275.011,-7407.9,-39.3061,-1140.84,-155.143,226.937,0
4,5,40.1172,-4.59656,-304.389,2012.51,-6920.17,2023.59,132.265,192.388,0,-18.222,1.30555,-275.621,-7774.11,-39.3061,-1232.39,-155.143,228.206,0
4,6,41.0327,-5.20691,-303.779,1829.41,-6553.96,2206.7,133.425,192.978,0,-19.4428,1.00037,-275.621,-7591,204.834,-1232.39,-154.257,227.541,0
4,7,42.2534,-5.51208,-304.999,730.772,-7408.45,2756.01,130.71,196.604,0,-20.6635,0.0848421,-275.011,-6858.58,-39.3061,-1323.94,-155.143,224.939,0
4,8,43.1689,-5.51208,-304.389,2928.04,-7286.38,2115.14,131.062,189.381,0,-18.8324,0.390018,-275.621,-6858.58,204.834,-1507.05,-154.257,224.884,0
4,9,41.9482,-4.90173,-303.779,2561.83,-6431.89,1565.83,133.827,190.567,0,-17.3065,1.30555,-276.232,-7957.21,204.834,-1232.39,-154.258,228.806,0
5,0,42.5586,-5.20691,-303.779,2378.72,-6309.81,1840.49,134.229,191.17,0,-16.0858,0.695194,-276.842,-7774.11,-39.3061,-1323.94,-155.142,228.081,0
5,1,41.9482,-4.59656,-302.558,2378.72,-6920.17,1565.83,132.128,191.138,0,-20.9686,-0.525509,-276.232,-7591,82.7642,-1507.05,-154.7,227.481,0
5,2,40.4224,-4.59656,-303.779,2561.83,-6920.17,1932.04,132.22,190.567,0,-18.222,0.390018,-276.232,-7957.21,204.834,-1140.84,-154.258,228.806,0
5,3,46.5259,-5.51208,-304.999,2561.83,-6920.17,2023.59,132.311,190.601,0,-19.7479,0.390018,-277.452,-7407.9,-39.3061,-1232.39,-155.142,226.7,0
5,4,42.5586,-4.59656,-303.168,2928.04,-7408.45,2298.25,130.563,189.342,0,-21.579,0.390018,-277.452,-7407.9,82.7642,-1323.94,-154.702,226.7,0
5,5,43.1689,-4.90173,-303.779,2195.62,-6798.1,1932.04,132.622,191.772,0,-19.7479,1.00037,-276.232,-7774.11,326.905,-1323.94,-153.817,228.143,0
5,6,41.9482,-5.51208,-301.948,2928.04,-5821.53,1748.93,135.72,189.303,0,-18.8324,-0.220334,-276.232,-7407.9,-161.376,-1507.05,-155.584,226.818,0
5,7,44.0845,-5.81726,-301.337,2012.51,-6431.89,2389.8,133.656,192.321,0,-20.9686,0.390018,-277.452,-7591,-161.376,-1415.5,-155.582,227.36,0
5,8,45,-4.90173,-301.337,3477.35,-6676.03,2023.59,132.845,187.46,0,-19.4428,0.0848421,-275.621,-7224.79,204.834,-1232.39,-154.257,226.213,0
5,9,42.5586,-4.59656,-302.558,1829.41,-6798.1,2023.59,132.531,192.954,0,-19.1376,-0.220334,-278.673,-7957.21,-161.376,-1140.84,-155.579,228.554,0
6,0,41.3379,-5.20691,-300.117,3477.35,-6553.96,2206.7,133.162,187.413,0,-19.4428,-0.525509,-277.452,-7224.79,-161.376,-1415.5,-155.582,226.04,0
6,1,42.8638,-4.90173,-301.337,2561.83,-7042.24,2298.25,131.63,190.498,0,-18.5272,0.0848421,-279.283,-7957.21,-39.3061,-1323.94,-155.141,228.492,0
6,2,43.4741,-4.59656,-301.337,3294.25,-6798.1,1932.04,132.44,188.068,0,-19.7479,0.0848421,-277.452,-7774.11,82.7642,-1232.39,-154.702,228.02,0
6,3,44.0845,-4.29138,-299.506,4026.67,-6431.89,2115.14,133.525,185.556,0,-21.8842,-0.220334,-280.504,-7957.21,-283.447,-1140.84,-156.011,228.368,0
6,4,41.9482,-4.90173,-300.117,3477.35,-6065.67,1840.49,134.789,187.413,0,-21.2738,-0.830685,-278.063,-7591,-39.3061,-1323.94,-155.141,227.3,0
6,5,40.7275,-4.90173,-302.558,2378.72,-6676.03,2206.7,132.935,191.138,0,-20.3583,-0.220334,-280.504,-7224.79,-39.3061,-1415.5,-155.14,225.756,0
6,6,40.7275,-4.90173,-300.117,2744.93,-6920.17,2115.14,131.942,189.854,0,-20.9686,-0.830685,-279.894,-8323.43,-161.376,-1323.94,-155.577,229.738,0
6,7,42.5586,-4.90173,-300.727,2744.93,-6431.89,2023.59,133.612,189.872,0,-18.5272,0.0848421,-281.115,-7591,82.7642,-1232.39,-154.706,227.003,0
6,8,41.9482,-6.12244,-298.896,2744.93,-6309.81,1840.49,133.89,189.816,0,-19.7479,-0.220334,-279.283,-7407.9,-39.3061,-1415.5,-155.141,226.525,0
6,9,43.4741,-5.51208,-299.506,3477.35,-6187.74,2481.35,134.34,187.39,0,-20.6635,-0.525509,-279.283,-7407.9,-39.3061,-1415.5,-155.141,226.525,0
7,0,42.2534,-5.51208,-299.506,2928.04,-6431.89,2664.46,133.525,189.224,0,-25.8514,-1.44104,-280.504,-7407.9,-39.3061,-1415.5,-155.14,226.409,0
7,1,44.3897,-5.51208,-298.896,3843.57,-7774.66,2023.59,128.989,186.141,0,-17.6117,-0.525509,-281.115,-7591,82.7642,-1507.05,-154.706,227.003,0
7,2,37.3706,-4.90173,-298.896,2928.04,-6309.81,1932.04,133.89,189.204,0,-21.8842,-0.525509,-278.063,-7591,-39.3061,-1323.94,-155.141,227.3,0
7,3,44.3897,-5.20691,-298.286,2928.04,-6676.03,2206.7,132.619,189.184,0,-20.0531,-0.220334,-281.725,-7591,204.834,-1507.05,-154.273,226.945,0
7,4,41.3379,-5.20691,-298.286,2928.04,-6187.74,2206.7,134.256,189.184,0,-19.4428,-0.220334,-280.504,-7407.9,-39.3061,-1323.94,-155.14,226.409,0
7,5,45,-5.51208,-298.896,3294.25,-6309.81,2206.7,133.89,187.979,0,-20.9686,-0.830685,-281.725,-7224.79,204.834,-1140.84,-154.273,225.645,0
7,6,40.7275,-5.51208,-298.286,4209.78,-6798.1,2115.14,132.209,184.887,0,-20.3583,-0.220334,-280.504,-7774.11,-161.376,-1232.39,-155.575,227.715,0
