head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
-12.308111,415.82892,1721.5496,5.184736,507.66934,1301.9299,222.23169,397.4611,1390.0505,261.75278,383.04388,1096.8545,250.71347,546.58344,879.58984,-207.63377,385.219,1385.8215,-248.23651,382.39536,1095.3864,-235.44589,527.4236,867.31946,-153.49536,431.38083,959.5566,100.3823,466.0969,510.7754,-98.946205,464.12497,497.52765,103.141914,292.77112,67.898544,-108.27399,281.22305,80.709114,123.78904,561.2113,74.39627,-168.81577,540.67584,77.4955,164.10207,427.07602,983.0616
-12.757616,415.57947,1721.3917,5.0545363,507.54623,1301.9542,222.09886,397.29974,1389.9921,261.55493,382.59644,1096.8285,250.61736,545.9807,879.39685,-207.72578,385.0419,1385.7943,-248.36963,382.5433,1095.3137,-234.1254,528.54126,867.523,-153.43185,430.82297,959.57886,100.2255,466.07126,510.8269,-99.10687,463.84097,497.58612,103.13544,292.7632,67.85981,-108.26866,281.26776,80.68122,123.804115,561.2312,74.358025,-168.93268,540.7183,77.54599,164.06873,427.28717,983.43964
-13.362557,415.1539,1721.3446,4.892093,507.4941,1301.918,221.97388,397.17776,1389.9375,261.30142,382.30533,1096.8535,250.51212,545.5013,879.1938,-207.85822,384.8592,1385.7881,-248.53429,382.69168,1095.2483,-234.40544,529.68744,868.30707,-153.61528,430.77368,959.54,100.71898,466.79492,511.00876,-99.26665,463.7103,497.61285,103.08413,292.8001,67.895615,-108.63149,281.3868,80.58919,123.757416,561.1945,74.349014,-168.76653,540.64343,77.46694,164.01299,427.2343,983.4054
-13.631579,415.15952,1721.6265,4.810368,507.3497,1301.9249,221.90392,397.05817,1389.9307,261.09625,382.0202,1096.864,250.39922,545.02216,879.03094,-207.9693,384.6628,1385.8075,-248.64992,382.8622,1095.1996,-233.26935,530.7783,868.4636,-153.66228,430.6486,959.6424,100.00417,466.25812,510.8711,-99.32842,463.76126,497.54092,103.04719,292.75287,67.95102,-108.68105,281.25302,80.49925,123.81696,561.24506,74.39892,-168.79268,540.61487,77.40354,163.96153,427.0778,983.38025
-14.159861,415.20404,1721.7639,4.7402215,507.22385,1301.9285,221.75366,396.9414,1389.9222,260.89963,381.74792,1096.8735,250.29666,544.5982,878.8864,-208.09601,384.4596,1385.7986,-248.8064,382.97037,1095.1881,-232.71349,531.9186,868.9398,-153.85669,430.5783,959.5883,99.8149,466.2549,510.9212,-99.38022,463.58487,497.58975,103.08846,292.8603,67.89848,-108.33604,281.26895,80.65373,123.767624,561.24255,74.32096,-168.71916,540.6683,77.402176,163.93988,426.9296,983.4928
-14.428279,414.9936,1721.6858,4.6044817,507.09766,1301.9517,221.64256,396.8883,1389.9062,260.68753,381.6085,1096.8481,250.10077,544.2431,878.72345,-208.27863,384.43503,1385.8862,-248.87163,383.0835,1095.1354,-231.93951,532.83185,869.21265,-153.83025,430.37994,959.6356,99.74047,466.32538,510.97858,-99.361855,463.41187,497.72964,102.831665,292.65836,67.78239,-108.3639,281.21777,80.63507,123.79091,561.27966,74.351685,-168.71211,540.6341,77.380516,163.75276,426.65817,983.51013
-15.624385,414.77338,1721.6003,4.5521173,506.9738,1301.9946,221.60812,396.74658,1389.9326,260.9138,380.86633,1096.8949,249.98622,543.9464,878.64276,-208.41187,384.29263,1385.9431,-249.00246,383.2374,1095.0416,-231.71353,533.8711,870.1745,-154.11993,430.5432,959.6266,99.62277,466.4388,510.99063,-99.390724,463.32077,497.74033,103.06726,292.83508,67.879036,-108.30895,281.2371,80.615875,123.74144,561.2567,74.343025,-168.9341,540.6076,77.39785,163.67026,426.61487,983.49414
-16.09611,414.7398,1721.4757,3.9921656,507.5696,1302.0858,221.54062,396.6294,1389.9174,260.3999,381.26282,1096.7604,249.8402,543.69165,878.5572,-208.48984,384.13315,1385.9702,-249.06613,383.32468,1094.9996,-231.20464,534.90546,870.6239,-154.13986,430.23572,959.68945,99.590706,466.52036,511.08133,-99.49786,463.2688,497.72354,103.034325,292.82245,67.87319,-108.67611,281.36948,80.51848,123.75114,561.2334,74.35482,-168.82697,540.6611,77.450935,163.70325,426.52698,983.7094
-16.736124,414.5014,1721.6428,3.8069582,507.42377,1302.086,221.39975,396.51407,1389.9095,260.4764,380.59488,1096.868,249.63118,543.43567,878.42145,-208.56897,384.04547,1386.0338,-249.1696,383.4337,1094.969,-230.8087,535.77325,871.38214,-154.39291,430.04486,959.7114,99.50491,466.57092,511.09506,-99.55672,463.1539,497.73615,103.032326,292.7927,67.87137,-108.468666,281.08136,80.4864,123.79444,561.26,74.35958,-168.83374,540.4912,77.2733,163.55643,426.38962,983.7494
-17.297962,414.50473,1721.7366,3.7240584,507.2096,1302.1056,221.36568,396.396,1389.8757,260.0432,380.9432,1096.7319,249.48802,543.3131,878.41125,-208.68636,383.96515,1386.0988,-249.18846,383.5393,1094.9457,-230.30127,536.8396,871.6622,-154.3787,430.19885,960.01263,99.394516,466.60217,511.11166,-99.61061,463.28137,497.7518,103.04417,292.86963,67.80871,-108.67319,281.36905,80.510216,123.78153,561.2468,74.359924,-168.78136,540.61945,77.40026,163.44847,426.151,983.89954
