Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,22.1118,-4.29138,-253.12,-13917.7,-11314.7,-1180.75,110.299,253.985,0,-21.2738,-6.32385,-257.311,-27183.3,-161.376,873.322,-155.627,305.644,0
1,1,21.5015,-3.37585,-251.899,-13551.5,-11925,-539.885,107.659,252.797,0,-22.4945,-6.01867,-259.142,-26817.1,82.7642,1056.43,-154.681,303.484,0
1,2,20.5859,-3.37585,-251.288,-14100.8,-12535.4,-265.227,105.115,255.114,0,-24.6307,-5.7135,-260.973,-26634,-39.3061,781.769,-155.151,302.056,0
1,3,22.1118,-3.07068,-251.899,-14283.9,-13145.8,-265.227,102.813,255.705,0,-24.3256,-6.01867,-263.414,-26634,-39.3061,781.769,-155.149,301.111,0
1,4,21.1963,-3.07068,-247.626,-12819,-12657.5,-356.78,103.885,250.768,0,-23.7152,-6.01867,-259.142,-27000.2,937.256,873.322,-151.383,304.191,0
1,5,19.6704,-2.7655,-248.237,-13734.6,-12413.3,-539.885,104.994,254.328,0,-20.3583,-6.32385,-260.363,-26450.9,-161.376,964.875,-155.62,301.592,0
1,6,23.3325,-3.07068,-248.237,-12819,-11680.9,-265.227,107.944,250.64,0,-23.1049,-6.01867,-260.973,-26634,-39.3061,873.322,-155.151,302.056,0
1,7,21.5015,-2.46033,-247.016,-13551.5,-11680.9,-539.885,107.712,253.861,0,-24.9359,-5.10315,-260.363,-27366.4,204.834,781.769,-154.213,305.109,0
1,8,21.8066,-3.37585,-243.964,-13185.2,-11925,-539.885,106.12,253.046,0,-23.7152,-5.7135,-260.973,-26817.1,204.834,690.216,-154.215,302.758,0
1,9,21.1963,-3.37585,-243.964,-13368.3,-11436.8,-173.675,108.121,253.796,0,-23.7152,-6.01867,-260.363,-26817.1,-39.3061,873.322,-155.151,302.999,0
2,0,21.5015,-2.15515,-242.744,-14833.2,-11925,-265.227,105.874,260.106,0,-23.7152,-6.62902,-260.363,-27366.4,-161.376,1147.98,-155.62,305.109,0
2,1,19.9756,-2.46033,-242.133,-13551.5,-11803,-539.885,106.254,254.967,0,-25.8514,-6.32385,-260.973,-27183.3,-39.3061,873.322,-155.151,304.161,0
2,2,21.5015,-2.7655,-240.912,-12635.9,-11925,-539.885,105.5,251.45,0,-20.9686,-6.01867,-259.752,-26634,82.7642,873.322,-154.681,302.536,0
2,3,21.5015,-1.84998,-241.523,-13002.1,-10826.4,-265.227,110.174,252.834,0,-20.3583,-6.01867,-260.363,-26450.9,82.7642,1147.98,-154.682,301.592,0
2,4,20.5859,-2.46033,-239.692,-14650.1,-11680.9,-356.78,106.267,260.121,0,-22.1893,-6.01867,-261.583,-26817.1,82.7642,873.322,-154.684,302.518,0
2,5,20.8911,-2.46033,-238.471,-14283.9,-11192.6,-448.333,108.065,258.898,0,-22.4945,-6.32385,-259.752,-26634,-39.3061,873.322,-155.151,302.536,0
2,6,20.5859,-2.46033,-237.25,-13551.5,-11803,-265.227,105.251,256.119,0,-25.2411,-5.7135,-261.583,-27366.4,204.834,1331.09,-154.217,304.618,0
2,7,19.9756,-3.07068,-235.419,-12819,-12779.5,-265.227,100.716,253.452,0,-20.0531,-5.7135,-260.973,-27000.2,-161.376,873.322,-155.618,303.46,0
2,8,22.417,-3.68103,-234.809,-13185.2,-11314.7,-265.227,106.813,255.153,0,-24.6307,-6.32385,-262.804,-26817.1,-39.3061,1147.98,-155.15,302.042,0
2,9,20.8911,-3.37585,-234.809,-12819,-11314.7,-356.78,106.813,253.593,0,-23.41,-6.32385,-262.804,-27549.5,204.834,1056.43,-154.221,304.829,0
3,0,21.5015,-3.68103,-234.809,-13002.1,-10826.4,-448.333,108.893,254.373,0,-24.3256,-5.7135,-262.804,-27000.2,-39.3061,1056.43,-155.15,302.739,0
3,1,19.3652,-4.59656,-234.199,-12086.6,-11803,-356.78,104.603,250.608,0,-21.8842,-6.01867,-263.414,-27549.5,82.7642,873.322,-154.686,304.586,0
