head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rHip                          _X,rHip                          _Y,rHip                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z
7.2510166,289.80225,1701.8811,24.96792,345.1599,1270.2543,219.5871,268.33655,1392.887,266.49347,276.49472,1098.3945,210.79398,505.3432,957.72107,-186.9282,281.81027,1371.5325,-244.17607,299.91013,1095.4237,-129.98361,518.40375,970.98865,178.27328,176.87758,984.3648,-130.93419,224.41693,963.4693,155.6609,329.88528,508.85056,-100.48139,354.9635,511.0764,116.527504,100.26497,68.4798,-104.81742,142.45033,79.80718,206.46184,353.79062,71.765884,-172.26915,401.0259,78.55301
7.3225355,293.9115,1699.5332,25.144009,346.20572,1267.2537,219.39558,271.05692,1391.2722,266.7682,276.0387,1096.8821,210.92471,504.47012,954.8297,-186.42575,284.50418,1369.7977,-244.66403,300.06003,1093.9374,-130.83417,517.4999,968.19635,178.0023,174.29068,982.93665,-130.33057,221.5115,962.2736,156.39618,332.2103,508.1924,-101.37352,358.15863,510.94617,116.41574,100.33708,68.492645,-104.77588,142.3373,79.841225,206.47388,353.78552,71.78158,-171.99016,401.2276,78.67443
7.406759,297.7704,1696.7634,25.296457,347.2739,1263.9728,219.12592,273.61246,1389.453,266.65256,275.65143,1094.9183,211.42607,503.07007,951.2578,-186.05798,287.19485,1367.8252,-245.35423,300.0791,1092.3545,-130.461,515.76587,964.5059,178.00966,171.75244,981.6377,-130.50977,218.91595,961.1432,157.80743,334.407,507.99753,-102.09068,361.38852,510.79105,116.37856,100.41681,68.485596,-104.75507,142.27664,79.85142,206.46858,353.77405,71.807434,-172.1217,400.9186,78.32032
7.6993403,302.29706,1693.2688,25.040209,349.18088,1260.7687,219.13126,276.92374,1387.2555,267.25278,274.79266,1092.8345,212.31708,501.1316,946.9207,-185.67223,290.06445,1365.679,-246.11009,299.9795,1090.7201,-131.31274,513.63824,959.6665,177.91618,169.33229,980.34094,-129.93317,215.9054,959.5561,158.62321,336.43985,507.55597,-102.947754,364.13998,510.87476,116.00139,100.102905,68.71386,-104.783554,142.251,79.881546,206.38167,353.71262,71.64552,-171.99129,401.30536,78.561
8.045905,307.00262,1690.278,25.006325,350.33307,1257.0863,218.9357,279.7761,1384.8727,267.36218,273.97797,1090.5372,213.56064,498.5288,941.8747,-185.19481,293.01105,1363.3162,-247.06728,299.70642,1088.9457,-133.30528,511.33646,954.0086,177.61855,166.733,978.7352,-130.29303,213.14717,957.90674,159.5279,338.39578,507.34613,-103.66338,367.139,510.67584,116.45078,100.24729,68.33794,-104.758995,142.28265,79.890884,206.51526,353.7493,71.84252,-172.02547,401.27448,78.58393
7.9658265,312.04166,1686.2107,25.282282,351.10568,1253.0872,218.30817,283.22476,1381.8505,267.9163,272.66946,1088.2263,215.19318,495.264,935.9484,-184.69086,296.2026,1360.7635,-248.44109,299.50504,1086.9612,-134.3128,507.83844,947.4307,177.56177,164.22499,977.24084,-130.24843,210.21297,956.2346,159.70554,339.67935,506.75974,-104.168205,369.58682,510.48746,116.04859,100.40315,68.73711,-104.76745,142.28653,79.87623,206.51224,353.77716,71.80069,-171.99998,401.27548,78.64501
8.267415,317.2139,1682.3,25.574953,352.2974,1248.8741,218.4544,286.66238,1378.9238,268.1634,271.73697,1085.2983,217.19888,491.33807,929.2918,-184.16476,299.54022,1357.8896,-249.75453,298.98367,1084.839,-137.38882,504.54105,939.9705,177.51683,161.70125,975.69434,-130.05646,207.23105,954.25665,160.73909,342.30237,506.81512,-104.74244,372.23624,510.21625,116.45414,100.706535,68.62521,-104.80704,142.24495,79.90257,206.39919,353.74396,71.63983,-171.88402,401.29526,78.62697
8.192654,322.71356,1678.2635,25.266539,354.0329,1244.4464,217.99692,290.3042,1375.377,268.61676,270.1294,1082.5654,219.45256,486.68756,921.87134,-183.72588,303.01245,1354.7238,-251.0851,298.23154,1082.4747,-139.318,500.14294,931.8179,177.2947,159.36198,974.2434,-130.13039,204.17097,952.339,160.39836,343.60583,506.13663,-105.275566,374.34024,510.1607,116.48764,100.36939,68.471085,-104.76837,142.37311,79.92302,206.47131,353.77036,71.767105,-171.7638,401.21378,78.43329
8.393293,328.7895,1673.7284,25.480097,355.6708,1239.7968,218.18744,294.02335,1371.697,268.9575,268.6767,1079.8369,222.15385,481.37326,913.82477,-183.4229,306.63885,1351.2009,-252.55908,296.81842,1080.3138,-143.04985,495.29947,922.7732,177.88017,156.55344,972.519,-130.33752,201.15205,950.50183,160.74998,345.79694,505.7175,-105.43958,376.08365,510.0827,116.246086,100.58633,68.678,-104.79373,142.41977,79.931335,206.46204,353.5177,71.52851,-171.86407,401.28348,78.3817
8.339186,334.9438,1669.3165,25.86597,356.84998,1234.5654,218.25427,297.81436,1367.528,270.2446,266.41193,1076.704,225.22989,475.2585,905.2062,-183.09457,310.48105,1347.3263,-254.12747,295.34732,1077.6697,-147.57343,490.19116,913.46204,176.83536,154.13147,970.53394,-130.38013,198.0357,948.62994,160.56413,347.64493,505.24066,-105.71154,377.87225,509.95615,115.995,100.39291,68.723755,-104.803734,142.55501,79.97741,206.50877,353.5589,71.51047,-171.80814,401.1966,78.40516
8.729203,341.58264,1663.9539,25.658224,358.79385,1229.1936,218.2061,301.51212,1363.0494,271.19446,264.4876,1073.5574,228.54999,468.4512,896.1096,-182.81155,314.36035,1343.0813,-255.8684,294.20706,1074.1941,-152.19162,484.2734,903.6817,176.71062,151.52997,968.48627,-130.56412,195.10545,946.6255,161.07422,350.01245,504.93082,-105.94697,379.4373,509.8373,116.509995,100.59648,68.56016,-104.797104,142.68942,80.0062,206.43155,353.74933,71.51609,-171.75781,401.16403,78.33297
8.83152,348.3452,1658.6171,25.699284,360.38397,1223.4459,217.99516,305.25726,1358.112,272.39194,262.11914,1070.201,232.267,460.8029,886.5017,-182.57936,318.44025,1338.4983,-257.8702,292.54974,1070.9832,-156.40335,477.1279,893.0224,176.63821,148.81467,966.38794,-131.03816,192.32834,944.4247,160.94719,351.803,504.70117,-106.83008,381.32785,509.6613,116.52822,100.75911,68.62595,-104.81211,142.8919,80.051926,206.49635,353.8121,71.56766,-171.85245,401.04645,78.3423
9.373947,355.66547,1652.3904,25.768736,362.23734,1217.3524,218.00394,309.23807,1352.8733,273.95438,258.94427,1066.9199,236.44588,452.4445,876.6166,-182.41061,322.68475,1333.4635,-259.96735,290.65417,1067.619,-162.96524,470.18204,882.69556,176.38133,146.17226,964.0191,-130.79309,188.9858,942.169,160.93343,353.99533,504.60672,-107.12577,382.5667,509.63766,116.515564,100.6984,68.67252,-104.8635,142.9544,79.98829,206.4514,353.87552,71.47035,-171.85864,401.21494,78.53976
9.697572,362.80963,1645.6984,25.885963,364.0534,1210.759,218.15535,313.50433,1347.3411,275.97635,255.89691,1063.6334,240.92046,443.2352,866.42804,-182.35736,327.08762,1327.9698,-262.34238,288.7091,1064.1376,-168.66435,462.03622,871.6056,176.23628,143.38278,961.5804,-130.26096,185.80513,939.86914,161.26738,355.93848,504.45908,-108.11606,384.35672,509.53387,116.125145,100.76675,68.79406,-104.82948,143.05527,80.01964,206.4622,353.88373,71.483894,-171.76286,401.22336,78.51842
9.771077,370.71402,1639.2318,25.827536,365.7889,1203.8102,217.9771,317.43723,1341.2207,276.61328,253.66223,1059.6448,245.6758,432.99576,855.8537,-182.37708,331.50928,1322.0826,-265.24203,286.87662,1060.4194,-176.374,454.0501,860.9898,176.04425,140.65524,958.96497,-130.69882,182.51526,937.5538,161.17778,357.30417,504.19626,-108.85638,385.91537,509.368,116.50862,100.77504,68.682976,-104.85692,143.0722,79.99131,206.38748,353.88388,71.36685,-171.76175,401.00928,78.28464
9.8846245,378.37613,1631.8352,25.91179,367.47226,1196.5233,218.16216,321.9701,1334.8387,278.70453,249.80951,1056.2606,250.92609,421.7821,845.27997,-182.50684,335.54852,1316.1105,-267.387,284.3843,1056.5415,-182.92924,444.61356,849.5947,175.46643,137.6835,956.1047,-130.94078,179.39452,935.0715,160.17862,358.114,503.33508,-109.91054,387.27304,509.30157,116.49089,100.86589,68.682846,-104.86574,143.0907,79.96714,206.38982,353.8924,71.43929,-171.82417,401.04327,78.41366
10.227188,386.71848,1624.2084,26.191986,369.23666,1188.8436,218.01938,326.1864,1327.899,280.59924,246.39581,1052.6508,256.41602,409.953,834.8131,-182.64136,340.03842,1309.392,-270.05658,281.93637,1052.6881,-190.93358,434.80383,838.51544,175.5164,134.97548,953.78894,-129.7329,175.42467,931.49963,160.52315,360.1937,503.28024,-110.857574,388.68457,509.3474,116.37373,100.894806,68.74746,-104.83552,143.17772,80.03046,206.40962,353.90286,71.401886,-171.72307,401.20496,78.53541
10.800949,395.1238,1615.4962,25.957197,370.93005,1180.8207,218.03241,330.42783,1320.7953,282.5513,242.77258,1049.0614,262.22504,397.35785,824.48724,-182.77983,344.5261,1302.3901,-273.3307,279.62177,1048.8053,-198.99107,424.2022,827.5466,175.17982,132.1413,951.1499,-130.96104,172.71762,928.9236,160.16356,361.10773,502.77856,-111.184364,389.52664,509.1976,116.08279,100.78301,68.8899,-104.88745,143.1154,79.94832,206.44983,353.9415,71.34349,-171.99855,400.94946,78.35548
10.488074,404.03348,1607.1794,25.87209,372.87604,1172.4469,217.94315,334.79462,1313.1873,284.505,239.00159,1045.4629,268.05215,384.00275,814.34045,-182.89983,348.92273,1294.9277,-276.40164,277.05515,1044.8812,-207.51892,413.0403,816.6252,174.4586,129.07812,948.1697,-130.17505,169.15637,925.28564,160.87546,363.18948,502.61435,-112.14008,390.91852,509.48672,116.108604,100.89581,68.85203,-104.862686,143.12651,79.93501,206.43513,353.93338,71.32241,-171.93848,401.10013,78.51759
10.898471,413.17108,1597.9442,25.968025,374.37292,1163.7931,217.98726,339.208,1305.3662,286.65558,235.20227,1041.8838,274.06827,370.00293,804.53546,-183.20287,353.3912,1287.115,-279.8046,274.53766,1040.8282,-216.25386,401.43884,806.2918,173.92694,126.0137,945.21985,-131.24956,165.92809,922.24615,161.03513,364.78445,502.2162,-112.76041,391.95844,509.43326,117.02324,101.246,68.824615,-104.85505,143.14273,79.90267,206.43703,353.9702,71.31454,-171.75562,401.1128,78.3842
11.081562,422.27008,1588.1683,26.128775,375.69855,1154.8419,217.90428,343.45868,1297.0249,288.89197,231.39413,1038.4309,280.23056,355.2514,794.9766,-183.6063,357.78293,1278.833,-283.42728,272.19543,1036.7423,-225.10437,389.1613,795.877,173.31157,122.72477,941.88464,-131.41632,162.8521,918.443,161.32013,366.21268,501.8637,-113.196495,392.79794,509.3113,115.868866,101.1509,69.01754,-104.85755,143.10594,79.90028,206.4076,353.97635,71.30589,-171.88927,401.069,78.615746
12.044052,431.90356,1577.357,26.067795,377.41647,1145.4735,217.92447,347.61703,1288.363,291.28867,227.53627,1035.0299,286.60696,339.97385,786.09656,-184.00925,362.1226,1270.1117,-287.22977,270.15384,1032.5348,-233.56726,375.75778,785.328,172.7755,119.45503,938.4206,-131.52144,159.40688,914.4858,162.01524,367.72617,501.72452,-113.93617,393.80432,509.20142,116.767815,101.24719,68.93928,-104.879814,143.15483,79.91292,206.3695,353.7765,71.03778,-172.00398,401.07162,78.44411
11.633064,441.2057,1566.6101,25.911663,379.21762,1135.7599,218.6606,352.04956,1279.6241,293.92664,223.96216,1031.7031,292.90002,324.0681,777.57,-184.41898,366.50858,1261.0406,-291.31735,267.74814,1028.7345,-243.24236,362.31577,776.3621,172.237,116.03024,934.60614,-132.21207,156.05551,910.8919,162.519,369.144,501.43127,-114.85866,395.00754,509.1467,115.91,100.79804,69.0743,-104.88851,143.0908,79.90521,206.34625,353.74628,71.04428,-171.84666,401.04446,78.39267
11.409364,450.5787,1554.7677,26.484924,382.089,1125.9359,218.5779,356.0974,1270.0264,296.70163,220.36378,1028.4689,299.45322,307.5214,769.70776,-184.71681,370.87366,1251.5334,-295.24966,265.66116,1024.4767,-252.20395,348.78033,767.6343,171.72227,112.566505,930.5835,-131.75319,152.65843,906.3057,162.59575,370.4231,500.80936,-115.90018,396.65244,508.98965,116.16569,100.66909,68.971405,-104.8254,143.16571,79.98388,206.38666,353.8253,71.04044,-171.77547,401.10858,78.43212
11.85419,460.19623,1543.1445,25.92009,379.99835,1115.1266,218.71594,360.16498,1260.117,299.72964,216.91805,1025.29,305.93997,290.65433,762.2871,-185.13028,375.17792,1241.6208,-299.20923,263.3613,1020.25256,-261.2426,334.3027,758.45386,171.29521,109.05645,926.3421,-132.0343,149.20834,901.7048,163.18808,371.9296,500.4431,-116.97961,398.31418,508.79526,116.362206,100.65987,68.80158,-104.86294,143.07788,79.96683,206.28035,354.06833,71.22457,-172.00116,400.89685,78.3261
11.656894,469.31445,1530.4772,26.45629,382.2952,1104.5881,218.90337,364.24866,1249.7228,302.84277,213.4658,1022.1611,312.63974,273.1858,755.81445,-185.4133,379.41754,1231.2906,-303.15543,260.99402,1015.90063,-270.36087,319.5747,750.3068,169.78091,105.76977,921.58374,-132.78711,146.33565,897.02374,163.97444,373.39673,500.2693,-117.841034,400.0212,508.6194,116.3207,101.16049,68.673035,-104.89778,143.09624,79.966446,206.28221,354.08884,71.28229,-171.92847,401.0874,78.528275
11.288126,478.20364,1516.8048,26.474966,383.3695,1093.3915,219.16827,368.38608,1239.0027,306.06796,210.08153,1019.0054,319.18146,255.49069,749.91724,-185.66055,383.49484,1220.6006,-307.27448,258.8188,1011.52997,-279.82214,304.4831,742.6183,170.15422,102.22592,916.9776,-133.12302,143.06007,891.3779,163.97026,374.59018,499.38123,-118.61836,401.7177,508.35788,116.059814,101.76882,68.44062,-104.84638,143.11584,79.96807,206.44954,354.33835,71.44729,-171.90858,401.1398,78.61167
11.201013,487.1372,1503.5979,27.032354,385.4526,1082.2456,219.43405,372.4433,1227.8359,309.03662,207.0909,1015.6946,325.8388,237.31929,744.8766,-186.00763,387.46893,1209.5532,-311.6517,256.5355,1007.16345,-289.18616,289.42532,735.7354,169.48984,98.82267,911.98816,-134.15636,140.1205,886.2787,164.93861,376.40723,498.95584,-119.18528,403.6667,507.8723,116.07003,101.70559,68.700485,-104.8465,143.10313,80.005806,206.3928,354.36203,71.38655,-171.90398,401.1612,78.71769
11.347734,495.9302,1489.7689,26.860834,386.55063,1070.4623,219.8002,376.36212,1216.3822,313.19232,203.38858,1013.1054,332.50668,218.9942,740.3912,-186.27429,391.26025,1198.1069,-315.97855,254.65636,1002.5356,-298.24866,273.56808,729.5158,168.77351,95.67603,906.2005,-133.86378,137.48674,879.65186,165.81474,378.32623,498.38943,-119.89035,405.50134,507.20285,115.43386,100.45343,69.2358,-104.90236,143.06221,79.93419,206.30066,354.4666,71.341965,-171.87366,401.14935,78.684845
11.251962,504.24066,1475.2422,27.27899,388.53558,1058.4781,220.3178,380.11768,1204.5446,315.61502,200.3888,1009.492,339.70862,200.69464,737.1796,-186.79573,394.93167,1186.1543,-320.27182,252.95612,997.8523,-307.3674,258.23212,723.94684,168.0044,92.722786,900.2779,-135.02748,134.74591,873.8038,166.88211,380.24768,497.7694,-120.24284,407.45612,506.595,115.41154,100.455414,69.24374,-104.862686,143.06013,79.92381,206.34866,354.52,71.28405,-171.86353,400.85132,78.40753
