head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rHip                          _X,rHip                          _Y,rHip                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z
-20.646051,510.1331,1643.2026,12.684796,454.05756,1269.9878,170.08969,329.72012,1440.4481,399.7654,260.05075,1240.5393,391.8481,526.2778,1324.549,-180.06783,393.799,1411.9778,-401.35046,427.04886,1226.809,-304.91394,674.06995,1304.452,169.5207,269.31918,968.13495,-133.76144,294.13806,942.56323,191.34126,444.56522,509.66736,-147.18088,470.8671,514.2315,127.3623,180.09636,79.09603,-95.49453,205.04164,91.716606,242.06317,423.06464,67.01449,-194.65329,452.02133,73.695564
-21.338305,507.30746,1615.8756,11.86105,455.35123,1235.8815,172.81873,334.0327,1406.3333,394.42233,254.73218,1201.2117,394.63797,522.9209,1278.196,-181.10503,397.49924,1378.1383,-400.65558,424.12057,1189.3828,-304.18982,673.13196,1261.4658,169.21002,264.35345,939.00397,-135.17422,287.05383,913.9007,192.61235,453.93048,490.56113,-148.95403,474.54663,491.41193,125.16388,178.28499,69.20596,-93.88316,201.4208,77.965416,240.94212,421.12802,69.40627,-193.4728,447.89017,77.63034
-21.828266,504.47092,1589.4825,11.200689,456.8333,1201.0747,176.02554,339.25385,1371.4896,389.10928,249.87048,1161.4363,397.48807,520.00635,1230.2936,-182.06288,401.86804,1343.327,-399.51862,421.46936,1151.0985,-303.11172,672.54297,1217.3014,168.61423,258.59488,910.92004,-136.07582,278.55426,887.1653,189.29279,471.2617,482.02948,-143.5238,492.94843,485.00967,125.472824,176.41534,68.19098,-93.6676,200.22272,78.23529,240.76445,419.6563,70.64061,-194.07928,445.85266,77.85603
-22.397278,502.46844,1564.9518,10.930614,457.94678,1166.0654,180.45479,344.75446,1335.7867,382.35422,246.09222,1121.4148,400.19733,517.5655,1180.9302,-183.30138,406.86044,1307.8497,-397.53046,418.80075,1112.0372,-301.93988,671.92535,1172.306,169.54471,248.6885,886.5901,-136.25708,266.15094,862.4478,182.52003,488.33963,478.47556,-137.07248,509.97552,481.83154,125.26293,177.34554,70.04899,-93.02722,202.62686,81.30394,241.3634,421.0939,67.63328,-195.37952,449.4778,74.537155
-22.51809,502.13394,1539.8102,11.802284,458.33377,1131.7334,186.94208,350.5564,1301.2203,374.81067,242.962,1081.5852,402.76083,515.1333,1130.5648,-185.20564,412.42856,1272.1974,-394.15848,415.7719,1072.6965,-302.13507,670.7112,1126.4073,170.91217,236.61943,867.03986,-137.35132,252.34857,843.7248,178.17247,499.4414,478.10202,-137.73517,520.3832,482.9506,124.16012,178.74193,72.605736,-90.615364,205.91742,83.06894,241.56706,422.35977,66.43914,-197.0282,450.88904,73.790245
-22.27059,501.6921,1513.9346,13.20783,458.47223,1098.5284,194.48503,356.62042,1266.739,365.0717,241.44417,1042.8417,404.97134,513.02924,1078.3185,-187.86845,418.85562,1237.6647,-388.67603,412.4121,1033.7491,-302.05637,670.4304,1078.719,170.61815,228.43709,849.3756,-138.47723,240.39114,827.3374,176.9113,506.07965,475.7375,-144.20685,524.8336,484.21973,122.65772,179.87637,73.370155,-89.156746,206.8898,82.737755,241.56815,422.54913,66.27031,-197.18175,451.28906,74.45521
-22.33091,500.6009,1489.7382,14.374192,456.67834,1067.6732,202.66911,362.44815,1232.1329,354.6163,240.60677,1005.82275,406.83636,510.90768,1025.3777,-190.44063,424.477,1204.8647,-381.02356,408.4729,995.6786,-303.1524,669.9294,1029.8527,169.62495,222.57895,834.71045,-138.46263,231.88498,810.28186,176.81589,511.5225,469.8232,-148.2692,529.82605,478.48926,123.6014,179.40567,71.167015,-89.40295,206.36987,81.91475,241.44664,421.83722,66.76585,-197.34851,450.68494,75.07004
-22.594381,500.82294,1467.7034,14.430788,454.4611,1040.0724,209.97517,367.58624,1197.7622,342.8462,241.16623,970.9103,407.45203,509.0495,971.3433,-193.27759,428.77042,1174.9341,-371.23877,403.86276,959.17316,-305.03003,669.53644,980.4444,169.55981,217.45195,819.85034,-139.83315,225.06001,793.7013,177.20218,518.89575,460.67337,-149.56035,539.0281,467.59967,123.97139,178.80205,70.878494,-89.724236,206.19885,82.02742,241.42659,421.42426,67.10385,-197.54295,449.99197,75.00765
-22.557741,502.26035,1447.3798,15.044294,453.12888,1016.09656,215.20404,372.61447,1164.4946,329.75226,243.05063,938.69415,407.54718,506.8009,917.991,-196.13666,431.5274,1147.0736,-359.72977,398.6786,925.27844,-307.66986,668.62415,930.47736,168.55284,213.1534,805.72797,-140.3155,220.24503,777.10425,174.9892,524.04675,457.24744,-147.63123,544.8385,462.6776,123.67041,179.56459,71.728134,-89.653145,206.31868,82.329185,241.59195,421.65933,66.894066,-197.47208,450.0589,74.9896
-22.058132,503.65286,1428.3136,15.9857025,453.11282,996.56055,213.26169,377.89258,1140.2437,317.303,246.25241,909.55884,406.64474,504.35852,865.8115,-198.17717,432.68646,1121.841,-347.16153,393.792,894.8096,-310.43362,666.5944,880.3653,167.6522,207.80942,792.1375,-139.9202,216.20082,760.51904,175.03955,526.7955,457.25626,-146.11682,547.4374,462.6781,123.1801,179.53761,72.62595,-89.30902,206.57056,82.52521,241.61575,421.88086,66.65113,-197.4775,450.21585,74.99139
-21.532398,505.03705,1410.7169,15.500057,453.16397,979.34625,208.51317,383.07077,1123.4126,306.15048,251.66327,882.60333,404.8099,501.48672,815.46564,-199.06488,432.57788,1100.5906,-335.11752,390.60596,867.46594,-312.27722,662.92377,832.4273,167.02925,202.14198,778.57666,-139.82388,212.44887,746.2634,174.98856,528.696,456.67065,-145.45662,549.3128,462.09805,122.841385,179.3791,72.77729,-89.1203,206.90828,82.599464,241.69041,421.88086,66.53094,-198.07402,450.03915,74.89909
-21.028675,505.99576,1394.6042,15.012677,452.8659,963.46295,205.82768,386.79242,1107.746,297.449,258.6502,857.55286,401.28705,497.79877,768.27893,-199.64139,431.88156,1082.3689,-323.91376,389.00946,842.1459,-313.28702,658.2144,786.752,166.75304,196.10675,765.15485,-139.69972,209.37134,734.46246,174.62581,530.4815,455.19522,-145.84819,551.9617,460.73254,122.80273,179.50185,72.77233,-88.95459,207.08109,82.770096,241.66594,421.89368,66.52449,-197.48213,450.38358,74.6371
-20.960997,506.56207,1380.0438,14.852974,451.97098,948.14813,204.96686,390.15073,1092.3308,292.78333,261.5912,836.39264,395.33112,493.52783,726.1929,-200.27264,431.38876,1065.0847,-313.34848,387.96182,818.52545,-313.63568,652.21893,745.0754,166.60995,190.19292,752.9734,-138.73712,206.14737,723.26587,173.83823,531.6659,454.07355,-145.00006,553.4701,459.46228,122.870316,180.09642,72.54294,-88.97531,207.12569,82.87057,241.68549,421.92014,66.587006,-197.57777,450.2816,74.63205
-21.238462,506.87268,1366.2773,14.663373,451.3039,933.8609,204.50832,394.25546,1076.3903,285.77142,272.54773,816.61383,387.545,489.7746,690.1331,-200.28609,431.68344,1049.0449,-303.7563,387.10178,797.5216,-312.81824,645.55634,707.97253,163.3389,184.59436,740.43756,-139.14383,203.07896,714.0894,173.1047,532.08075,454.24225,-144.66539,554.9097,458.63635,122.27221,180.61703,72.760376,-88.94031,207.01463,82.7394,241.62045,421.95917,66.45801,-197.37997,450.365,74.72097
-20.246151,506.34976,1353.7394,14.386034,449.93176,920.2968,204.28049,399.1252,1060.4347,282.96484,277.98856,801.1074,379.86234,486.85745,659.88947,-199.10884,432.71225,1034.328,-295.3111,387.48715,780.3731,-311.42166,638.3359,674.95483,159.61508,179.21402,728.73566,-139.00533,200.50798,705.2229,172.75714,532.69696,454.88876,-144.59402,555.2936,457.83334,122.113365,180.35939,73.24546,-88.90466,207.1028,82.67735,241.70763,422.04617,66.475296,-197.74014,450.5347,74.9569
-20.19193,505.58362,1342.8658,13.894264,448.67725,908.58276,203.87149,403.6574,1046.1041,279.74594,284.82623,787.1563,371.69324,485.6001,633.7094,-196.66618,434.21933,1021.2958,-288.3438,389.07462,766.3061,-309.90872,630.25226,645.396,154.44028,174.15477,717.57166,-139.5704,198.25551,697.03186,172.31491,532.6552,454.992,-144.88383,555.9838,457.63156,121.91721,180.29141,73.31098,-88.858925,207.0674,82.86565,241.6909,422.09186,66.54702,-197.68932,450.26907,74.81411
-20.16498,504.49652,1333.1884,13.7807,447.55405,898.5956,202.6451,407.29358,1034.7985,277.30127,290.94223,774.5737,364.46674,485.40503,611.488,-194.10991,435.32614,1010.4808,-282.556,391.16666,754.3707,-308.4274,622.15094,619.14905,148.40396,169.37408,707.15265,-139.61948,195.80914,689.01776,171.51753,532.6058,455.04645,-145.03616,556.0472,457.8811,122.109726,180.59134,73.37175,-88.880295,207.06512,83.041985,241.63329,422.06604,66.60779,-197.30693,450.58432,74.936104
-19.966066,503.36258,1325.1787,13.774047,446.08044,889.87665,201.76286,409.83,1025.5507,275.19614,297.09872,763.16534,358.34213,485.53415,592.1721,-192.39929,436.03525,1002.0058,-277.93872,393.07645,744.61536,-307.07065,613.78796,596.09393,141.80054,164.86188,697.59485,-140.72923,193.36024,682.76526,170.25981,532.5674,455.36185,-144.84691,555.97894,458.15622,121.90425,179.9337,73.71038,-88.79203,206.97263,83.155754,241.60919,422.0187,66.63011,-197.3397,450.33026,75.0132
-19.710045,502.09753,1317.9464,13.7235775,444.57132,882.45294,201.74872,411.08072,1018.2342,273.35364,303.10162,753.4632,353.12607,485.91306,575.33276,-191.27667,436.12012,994.83435,-274.00705,394.78436,736.87604,-306.15775,605.6006,576.56964,134.89183,160.61035,688.99713,-141.48865,190.55862,677.2711,168.74023,532.7339,455.40067,-144.79036,556.17523,457.69458,121.74827,180.36981,73.902214,-88.71026,207.12025,82.9952,241.58966,422.08447,66.5127,-197.18651,450.79138,74.9538
